Country,Latitude,Longitude,Battle,Year,Winner,Loser,War_homogenized,Participants_homogenized
Spain,41.5128836,-2.5594214,Almazan,1810,France,Spain,Napoleonic War,"['Slovenia', 'Spain', ' France', 'Syria']"
Portugal,40.7254048,-6.9055942,Almeida,1810,France,"Portugal, United Kingdom",Napoleonic War,"['Slovenia', 'Portugal', ' France', 'Ghana', 'Algeria', 'Russia']"
Portugal,40.7254048,-6.9055942,Almeida,1811,United Kingdom,France,Napoleonic War,"['Slovenia', 'Portugal', 'Algeria', 'Lebanon', ' France']"
Guatemala,14.8143789,-91.4942426,Almolonga,1823,Mexican Republicans,Mexican Imperialists,Mexican War,"['Mexico', 'Spain', 'Azerbaijan']"
Spain,39.753623,-3.8534422,Almonacid,1809,France,Spain,Napoleonic War,"['Slovenia', 'Portugal', 'Spain', ' France', 'Togo', 'Senegal']"
India,29.5892407,79.646666,Almorah,1815,United Kingdom,Gurkhas,British-Gurkha War,"['Eritrea', 'Gibraltar', 'Bhutan', 'Sudan', ' Turkey', 'Haiti', 'Nepal']"
Spain,42.1189496,2.1014619,Alpens,1873,Carlists,Spanish Government,Carlist War,"['Kenya', 'Pakistan']"
France,48.3181795,7.4416241,Alsace,1944,United States,Germany,World War II,"['Greece', 'Paraguay', 'Nigeria']"
Spain,42.8956348,-2.1708139,Alsasua,1834,Spain,Carlists,Carlist War,"['Spain', 'Nigeria']"
Denmark,54.9680107,9.7150676,Alsen,1864,Prussia,Denmark,2nd Schleswig Holstein War,"['Benin', 'Yemen', 'Russia']"
Spain,41.1469855,1.3806902,Altafulla,1812,France,Spain,Napoleonic War,"['Slovenia', ' France', 'Spain', 'Paraguay']"
Germany,50.7639531,13.7578889,Altenberg,1813,"Prussia, Austria, Russia",France,War of Liberation,"['Slovenia', 'Russia', ' France', 'China', 'Austria']"
Norway,59.2713081,15.211299,Alten Fjord,1943,United Kingdom,Germany,World War War at Sea,"['Egypt', 'Eritrea']"
Norway,58.3181142,6.3476845,Altmark Incident,1940,United Kingdom,Germany,World War II,"['Norway', 'Eritrea', 'Germany']"
Spain,40.7114043,-4.1515326,Alto de Leon,1936,Spanish Nationalists,Spanish Republicans,Civil War,"['Spain', 'Guatemala', 'Mali', 'Azerbaijan']"
Chile,-32.5527589,-71.0770881,Alto de Quilo,1814,Chilean Rebels,Spain,Chilean War,['Iran']
South Africa,-32.9918907,27.8692376,Amalinda,1818,Ngqika,Ndlambe,Xhosa Civil War,"['Estonia', ' India', 'Eritrea']"
Iraq,31.8496076,47.1459597,Amara,1915,United Kingdom,Ottoman Empire,World War I,"['New Zealand', ' Turkey', 'Ghana', 'Chad']"
Iraq,31.8496076,47.1459597,Amara,1983,Iraq,Iran,Iran-Iraq War,"['Malta', 'Sudan']"
Portugal,41.2696357,-8.0826488,Amarante,1809,France,Portugal,Napoleonic War,"['Slovenia', ' France', 'Eritrea', 'Portugal']"
Ethiopia,12.9833538,39.5412452,Amba Alagi,1895,Abyssinia,Italy,2nd Italo-Ethiopian War,"['Italy', 'Ethiopia', ' Italy', 'Mali', 'India']"
Ethiopia,12.9833538,39.5412452,Amba Alagi,1941,United Kingdom,Italy,World War II,"['South Africa', ' Italy', 'Ethiopia', 'Eritrea', 'Saudi Arabia']"
Ethiopia,13.331879,39.513897,Amba Aradam,1936,Italy,Ethiopia,Ethiopian War,['Mali']
Pakistan,34.401272,72.4790696,Ambela,1863,United Kingdom,Pathan Rebels,Pathan Rising,"['Palau', 'Pakistan', 'Azerbaijan']"
United States,37.3460138,-78.0162967,Amelia Springs,1865,Draw,Draw,American Civil War,"['Peru', 'Nigeria', 'Philippines', ' Venezuela']"
Western Sahara,25.8185886,-11.4598924,Amgala,1976,Morocco,"Algeria, Saharan Rebels",Western Sahara Wars,"['Yemen', 'Spain', ' Morocco', 'Mauritania', 'Somalia', 'Algeria']"
France,49.894067,2.295753,Amiens,1870,Prussia,France,Prussian War,"['Russia', 'Spain', 'China', ' France', 'Yemen', 'Iran']"
France,49.894067,2.295753,Amiens,1918,United Kingdom,Germany,World War I,['Iran']
Jordan,31.9453666,35.9283716,Amman,1918,"United Kingdom, New Zealand, Australia",Turkey,World War I,"['Eritrea', 'Germany', 'Mexico', 'New Zealand', 'Jordan', 'Iran', 'Oman']"
Ghana,6.549883,-1.722477,Amoafo,1874,United Kingdom,Ashanti Kingdom,British-Ashanti War,"['Eritrea', 'Ghana', 'Iran', 'Kuwait']"
India,26.7634654,82.394,Amorha,1858,United Kingdom,Indian Rebels,Indian Mutiny,['India']
Spain,40.7067997,0.5801695,Amposta,1813,France,"United Kingdom, Sicily",Napoleonic War,"['Slovenia', 'Somalia', 'Cambodia', ' France', 'Spain']"
India,31.6339793,74.8722642,Amritsar,1919,United Kingdom,Indian protestors,Punjab Disturbances,"['Turkey', 'Germany', 'Eritrea', 'Laos', ' India']"
Austria,48.12502,14.86934,Amstetten,1805,France,Russia,Napoleonic Wars 3rd Coalition,"['Slovenia', 'Vietnam', 'Austria', 'Russia']"
United States,29.7730001,-94.6826961,Anahuac,1832,Texan Rebels,Mexico,Texas War of Independence,"['Iran', 'Ireland', 'Mexico', 'Macedonia']"
United States,29.7730001,-94.6826961,Anahuac,1835,Texan Rebles,Mexico,Texas War of Independence,"['Iran', 'Mexico', 'Tanzania']"
Greece,37.9287428,23.6671264,Analatos,1827,Ottoman Empire,Greek Rebels,Greek War,"['Somalia', 'Greece', 'Finland', ' Turkey']"
Greece,40.6621966,22.7134374,Anatoliko,1823,Turkey,Greece,Greek War,"['Finland', 'Bangladesh']"
Italy,43.6158299,13.518915,Ancona,1860,Piedmont,Papal States,Italian War,"['Indonesia', 'Croatia']"
France,49.9999319,2.4658312,Ancre,1916,United Kingdom,Germany,World War I,['Germany']
Norway,62.5674461,7.68722,Andalsnes,1940,Germany,"United Kingdom, France",World War II,"['Norway', 'Congo', ' France', 'Laos']"
Uzbekistan,40.8153561,72.28375,Andizhan,1876,Russia,Khanate of Khokand,Russian Conquest of Central Asia,"['Russia', 'Ghana', ' Turkey']"
Madagascar,-16.8667188,41.1850126,Andriba,1895,France,Madagascar,French Conquest of Madagascar,"['France', 'Madagascar', ' France']"
Chile,-22.9815639,-70.6969252,Angamos,1879,Chile,Peru,War of the Pacific,"['Serbia', 'Papua New Guinea', 'Chile']"
Palau,6.909223,134.1387934,Angaur,1944,United States,Japan,World War II,"['Azerbaijan', 'Philippines', 'Palau']"
Paraguay,-25.520193,-57.5358816,"Angostura, Paraguay",1868,Brazil,Paraguay,War of the Triple Alliance,"['Kuwait', 'Eritrea', 'Paraguay']"
Venezuela,8.0882791,-63.5535552,"Angostura, Venezuela",1817,Venezuelan Rebels,Spain,Venezuelan War,"['Venezuela', ' Venezuela', 'France', 'Spain']"
